Global Inputs
Study Type,Direct Sun - Day
Floor Area Loss,40%
Max Direct Sun Time,3 hr

Case 1 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Room Orientation,0
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),40
Room Depth (ft),30
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5

Case 1 Result
% > max direct sun time, 71%, Fail

Case 1 Hours of Sun Floor Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0.25,0.25,0.25,0.5,0.5,0.5,0.75,1,1.25,1.25,2,3,5.25,7.5,8.75,9.5,9.75,9.75,10,10.25,10,9.75,9.75,9.5,8.75,7.75,5.5,3.25,2,1.5,1.25,1,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25
2,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.75,2.25,2.75,3.75,5,6,7,7.75,8,8.5,8.5,8.75,8.5,8.5,8,7.75,7.25,6.25,5.25,4,3,2.25,1.75,1.5,1.25,1,1,0.75,0.75,0.5,0.5,0.5
3,0.75,0.75,1,1,1.25,1.5,1.5,1.75,2.25,2.5,3.25,3.75,4.5,5.25,5.75,6.5,6.75,7.25,7.25,7.25,7.25,7.25,6.75,6.75,6,5.5,4.75,4,3.5,2.75,2.25,1.75,1.75,1.5,1.25,1,1,0.75,0.75,0.5
4,0.75,1,1,1.25,1.5,1.75,1.75,2.25,2.25,2.75,3,3.75,4.25,4.75,5.25,5.5,6,6.25,6.25,6.25,6.25,6,6.25,5.75,5.5,4.75,4.5,3.75,3.25,3,2.5,2,1.75,1.75,1.5,1.25,1,1,0.75,1
5,1.25,1,1.25,1.5,1.75,2,2,2,2.5,2.5,3,3.5,3.75,4.25,4.5,5,5,5.25,5.25,5.25,5.25,5.5,5.25,5.25,4.75,4.5,4,3.75,3.25,3,2.75,2.25,2,2,1.75,1.5,1.25,1,1.25,1
6,1.25,1.5,1.25,1.5,1.75,2,1.75,2,2.5,2.5,3,3.25,3.5,4,4,4.25,4.5,4.75,4.75,4.75,5,5,4.75,4.5,4.25,4.25,3.75,3.5,3.25,2.75,2.75,2.25,2,2,1.75,1.5,1.25,1.5,1.25,1
7,1.25,1.5,1.75,1.5,1.75,1.75,1.75,2,2.5,2.5,2.75,3,3.25,3.25,3.75,3.75,4,4.25,4.25,4.5,4.5,4.5,4.25,4,4,3.75,3.5,3.5,3,2.75,2.5,2.25,2.25,2,1.75,1.5,1.5,1.5,1.25,1
8,1.25,1.5,1.75,1.5,1.5,1.75,2,2,2.25,2.25,2.75,3,3,3,3.5,3.5,3.5,3.75,4,4,4,4,4,3.75,3.5,3.5,3.25,3.25,2.75,2.75,2.5,2.25,2.25,2,1.75,1.75,1.5,1.5,1.25,1.25
9,1.25,1.5,1.5,1.5,1.5,1.75,2,2,2.25,2.5,2.5,2.75,2.75,3,3,3,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.25,3.25,3,3,2.75,2.75,2.5,2.5,2.25,2,2,1.75,1.5,1.5,1.5,1.25
10,1.5,1.5,1.25,1.5,1.75,1.5,1.75,2,2,2.25,2.25,2.5,2.5,2.75,2.75,3,3.25,3.25,3.25,3.5,3.25,3.25,3.25,3.25,3,3,2.75,2.75,2.5,2.5,2.25,2.25,2,1.75,2,1.75,1.5,1.5,1.5,1.25
11,1.25,1.25,1.5,1.25,1.5,1.75,1.75,2,2,2,2.25,2.25,2.5,2.5,2.75,3,3,3.25,3,3,3,3,3,3,3,2.75,2.75,2.5,2.5,2.25,2.25,2,2,2,1.75,1.5,1.75,1.5,1.25,1.5
12,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,2,2,2,2,2.25,2.5,2.75,2.75,2.75,2.75,2.75,3,2.75,2.75,2.75,2.5,2.75,2.75,2.5,2.5,2.25,2.25,2.25,2,2,1.75,1.75,1.75,1.5,1.5,1.5,1.25
13,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,2,1.75,2,2.25,2.5,2.5,2.5,2.5,2.75,2.75,2.5,2.75,2.75,2.5,2.5,2.5,2.5,2.5,2.25,2,2.25,2,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.25
14,1,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.75,1.75,2,2,2.25,2.25,2.25,2.25,2.5,2.5,2.25,2.5,2.5,2.5,2.5,2.25,2.25,2.25,2.25,2,2.25,2,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.5,1.5
15,1.25,1.25,1.25,1.25,1.5,1.25,1.5,1.75,1.5,1.75,2,2,2,2.25,2,2.25,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2.25,2,2.25,2,2,2,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25
16,1,1.25,1.25,1.5,1.25,1.5,1.25,1.5,1.75,1.75,2,1.75,2,2.25,2,2,2.25,2,2.25,2,2.25,2,2,2.25,2,2.25,2,2,2,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.25,1.5,1.25
17,1,1.25,1,1.25,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2.25,2,2,2,2,2,2,2,2,1.75,2,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25
18,1.25,1,1.25,1.25,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,1.75,2,1.75,2,1.75,2,1.75,2,1.75,2,1.75,2,1.75,2,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25
19,1,1,1.25,1,1.25,1.25,1.5,1.5,1.75,1.5,1.75,1.75,1.75,1.75,1.75,2,1.75,2,1.75,2,1.75,2,1.75,2,1.75,1.75,1.75,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1.25
20,1,1,1,1.25,1.25,1.5,1.5,1.75,1.5,1.75,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.25
21,1,1,1,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.75,1.5,1.75,1.5,1.5,1.75,1.5,1.75,1.5,1.75,1.5,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1.25,1.25
22,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1
23,1,1,1.25,1.25,1.25,1,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1,1.25,1.25,1.25,1.25,1.25,1
24,1,1,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1,1.25,1.25
25,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1
26,0.5,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.5,0.5,0.5
27,0.5,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.5,0.5
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

